 ,product_name,product_price,product_link,product_ram
1,"nothing phone (2) (dark grey, 256 gb)","₹37,999",https://www.flipkart.com/nothing-phone-2-dark-grey-256-gb/p/itmc1490711c3eb9?pid=MOBGZSDKU5CGE8FX&lid=LSTMOBGZSDKU5CGE8FXD4MGTF&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGZSDKU5CGE8FX.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,12 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50 mp(ois) +50mp | 32mp front camera4700 mah lithium ion batteryqualcomm snapdragon 8+ gen 1 processorltpo amoled (1 hz - 120 hz)1 year manufacturing warranty
2,"nothing phone (2) (white, 256 gb)","₹37,999",https://www.flipkart.com/nothing-phone-2-white-256-gb/p/itmc1490711c3eb9?pid=MOBGZSDKHBHNYPSH&lid=LSTMOBGZSDKHBHNYPSHLW24IH&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGZSDKHBHNYPSH.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,12 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50 mp(ois) +50mp | 32mp front camera4700 mah lithium ion batteryqualcomm snapdragon 8+ gen 1 processorltpo amoled (1 hz - 120 hz)1 year manufacturing warranty
3,"nothing phone (2) (white, 512 gb)","₹38,999",https://www.flipkart.com/nothing-phone-2-white-512-gb/p/itmc1490711c3eb9?pid=MOBGZSDKJYHHV3KN&lid=LSTMOBGZSDKJYHHV3KNEMJPQM&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGZSDKJYHHV3KN.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,12 gb ram | 512 gb rom17.02 cm (6.7 inch) full hd+ display50 mp(ois) +50mp | 32mp front camera4700 mah lithium ion batteryqualcomm snapdragon 8+ gen 1 processorltpo amoled (1 hz - 120 hz)1 year manufacturing warranty
4,"nothing phone (2) (white, 128 gb)","₹36,999",https://www.flipkart.com/nothing-phone-2-white-128-gb/p/itmc1490711c3eb9?pid=MOBGTAHEXGHF24MM&lid=LSTMOBGTAHEXGHF24MMPX1V7W&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGTAHEXGHF24MM.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 128 gb rom17.02 cm (6.7 inch) full hd+ display50 mp(ois) +50mp | 32mp front camera4700 mah lithium ion batteryqualcomm snapdragon 8+ gen 1 processorltpo amoled (1 hz - 120 hz)1 year manufacturing warranty
5,"nothing phone (2a) 5g (black, 256 gb)","₹25,999",https://www.flipkart.com/nothing-phone-2a-5g-black-256-gb/p/itm85c6bca5edadc?pid=MOBGVMQSVVE7CEAB&lid=LSTMOBGVMQSVVE7CEABNFJTAI&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGVMQSVVE7CEAB.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
6,"nothing phone (2a) 5g (white, 256 gb)","₹25,999",https://www.flipkart.com/nothing-phone-2a-5g-white-256-gb/p/itm85c6bca5edadc?pid=MOBGVMQS9NC2DH2P&lid=LSTMOBGVMQS9NC2DH2PC9VIBX&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGVMQS9NC2DH2P.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
7,"nothing phone (2a) 5g (black, 128 gb)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGVMQSZWSCFFWT.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 128 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
8,"nothing phone (2a) 5g (blue, 256 gb)","₹25,999",https://www.flipkart.com/nothing-phone-2a-5g-blue-256-gb/p/itm85c6bca5edadc?pid=MOBHY8KMQYHVZ6GE&lid=LSTMOBHY8KMQYHVZ6GEMUK6QU&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBHY8KMQYHVZ6GE.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
9,"nothing phone (2a) 5g (blue, 256 gb)","₹27,999",https://www.flipkart.com/nothing-phone-2a-5g-blue-256-gb/p/itm85c6bca5edadc?pid=MOBHY8KMR8FZBUZE&lid=LSTMOBHY8KMR8FZBUZEYOP2WH&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBHY8KMR8FZBUZE.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,12 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
10,"nothing phone (2a) 5g (blue, 128 gb)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-blue-128-gb/p/itm85c6bca5edadc?pid=MOBHY8KMDGZNWH4G&lid=LSTMOBHY8KMDGZNWH4GJWNMWZ&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBHY8KMDGZNWH4G.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 128 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
11,"nothing phone (2a) 5g (black, 256 gb)","₹27,999",https://www.flipkart.com/nothing-phone-2a-5g-black-256-gb/p/itm85c6bca5edadc?pid=MOBGVMQSMHEGGBRW&lid=LSTMOBGVMQSMHEGGBRWBAIRUF&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGVMQSMHEGGBRW.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,12 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
12,"nothing phone (2a) 5g (white, 256 gb)","₹27,999",https://www.flipkart.com/nothing-phone-2a-5g-white-256-gb/p/itm85c6bca5edadc?pid=MOBGVMQS98EEEKTZ&lid=LSTMOBGVMQS98EEEKTZGRWCDA&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGVMQS98EEEKTZ.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,12 gb ram | 256 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
13,"nothing phone (2a) 5g (white, 128 gb)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-white-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSFSU7EFDH&lid=LSTMOBGVMQSFSU7EFDHCYFGAH&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGVMQSFSU7EFDH.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,8 gb ram | 128 gb rom17.02 cm (6.7 inch) full hd+ display50mp (ois) + 50mp | 32mp front camera5000 mah batterydimensity 7200 pro processor1 year manufacturing warranty
14,"nothing phone (1) (black, 256 gb)","₹35,999",https://www.flipkart.com/nothing-phone-1-black-256-gb/p/itmeea53a564de47?pid=MOBGCYGPXKY9H62J&lid=LSTMOBGCYGPXKY9H62JOABLMR&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGCYGPXKY9H62J.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,"12 gb ram | 256 gb rom16.64 cm (6.55 inch) full hd+ display50mp + 50mp | 16mp front camera4500 mah lithium-ion batteryqualcomm snapdragon 778g+ processormeet the glyph interface. a new way to communicate1 billion colours, true-to-life full hd flexible oled display with hdr10+ for richer colour and deeper contrasts.1 year warranty"
15,"nothing phone (1) (white, 256 gb)","₹35,999",https://www.flipkart.com/nothing-phone-1-white-256-gb/p/itmeea53a564de47?pid=MOBGCYGPYZCNURHT&lid=LSTMOBGCYGPYZCNURHTHRLY1L&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGCYGPYZCNURHT.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,"12 gb ram | 256 gb rom16.64 cm (6.55 inch) full hd+ display50mp + 50mp | 16mp front camera4500 mah lithium-ion batteryqualcomm snapdragon 778g+ processormeet the glyph interface. a new way to communicate1 billion colours, true-to-life full hd flexible oled display with hdr10+ for richer colour and deeper contrasts.1 year warranty"
16,"nothing phone (1) (black, 256 gb)","₹31,999",https://www.flipkart.com/nothing-phone-1-black-256-gb/p/itmeea53a564de47?pid=MOBGCYGPWXYRRNB4&lid=LSTMOBGCYGPWXYRRNB4T43PGT&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGCYGPWXYRRNB4.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,"8 gb ram | 256 gb rom16.64 cm (6.55 inch) full hd+ display50mp + 50mp | 16mp front camera4500 mah lithium-ion batteryqualcomm snapdragon 778g+ processormeet the glyph interface. a new way to communicate1 billion colours, true-to-life full hd flexible oled display with hdr10+ for richer colour and deeper contrasts.1 year warranty"
17,"nothing phone (1) (white, 256 gb)","₹32,499",https://www.flipkart.com/nothing-phone-1-white-256-gb/p/itmeea53a564de47?pid=MOBGCYGPPQJTUNMZ&lid=LSTMOBGCYGPPQJTUNMZVFZZ6X&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGCYGPPQJTUNMZ.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,"8 gb ram | 256 gb rom16.64 cm (6.55 inch) full hd+ display50mp + 50mp | 16mp front camera4500 mah lithium-ion batteryqualcomm snapdragon 778g+ processormeet the glyph interface. a new way to communicate1 billion colours, true-to-life full hd flexible oled display with hdr10+ for richer colour and deeper contrasts.1 year warranty"
18,"nothing phone (1) (black, 128 gb)","₹29,999",https://www.flipkart.com/nothing-phone-1-black-128-gb/p/itmeea53a564de47?pid=MOBGCYGPFEGDMYQR&lid=LSTMOBGCYGPFEGDMYQROW9GCT&marketplace=FLIPKART&q=nothing+phone++64+GB+8+GB&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=4cbeef3a-f528-4eb0-95de-458017feb2fd.MOBGCYGPFEGDMYQR.SEARCH&ppt=None&ppn=None&ssid=iny0b9is3k0000001715140085653&qH=152946593e31f894,"8 gb ram | 128 gb rom16.64 cm (6.55 inch) full hd+ display50mp + 50mp | 16mp front camera4500 mah lithium-ion batteryqualcomm snapdragon 778g+ processormeet the glyph interface. a new way to communicate1 billion colours, true-to-life full hd flexible oled display with hdr10+ for richer colour and deeper contrasts.1 year warranty"
